debited,3.5249366062671994
card,3.2400745314337653
ac,2.8659401952996735
credit,2.526337110915734
ending,2.204986745003424
neft,2.1060221675190633
credited,2.1060221675190633
available,2.102591650106473
limit,1.9767541376676496
avl,1.4223449561607264
bal,1.4223449561607264
charge,1.1924274431433006
payment,0.8789457599645847
otp,0.8138473104004363
download,0.7494798356628491
transaction,0.7448001840136709
online,0.7428597453623725
avoid,0.735961577846131
aadhaar,0.704700942824094
number,0.704700942824094
towards,0.6628993687206951
cheque,0.6628993687206951
cash,0.6628993687206951
point,0.6473074596317607
earn,0.6473074596317607
app,0.6473074596317607
outstanding,0.6473074596317607
reward,0.6473074596317607
overdue,0.6323934302545954
visit,0.6323934302545954
bill,0.6323934302545954
processing,0.6213253750478565
record,0.6213253750478565
document,0.6213253750478565
completed,0.6213253750478565
kyc,0.6213253750478565
abc,0.6213253750478565
updated,0.6213253750478565
